MeasureItem,DateUTC,DateShort,TimeFrom,TimeTo,CountryCode,Cov_ratio,Value,Value_ScaleTo100
Monthly Hourly Load Values,00:00.0,12/31/2015,23:00,0:00,RS,100,5726,5726
Monthly Hourly Load Values,00:00.0,1/1/2016,0:00,1:00,RS,100,5633,5633
Monthly Hourly Load Values,00:00.0,1/1/2016,1:00,2:00,RS,100,5352,5352
Monthly Hourly Load Values,00:00.0,1/1/2016,2:00,3:00,RS,100,5040,5040
Monthly Hourly Load Values,00:00.0,1/1/2016,3:00,4:00,RS,100,4703,4703
Monthly Hourly Load Values,00:00.0,1/1/2016,4:00,5:00,RS,100,4560,4560
Monthly Hourly Load Values,00:00.0,1/1/2016,5:00,6:00,RS,100,4494,4494
Monthly Hourly Load Values,00:00.0,1/1/2016,6:00,7:00,RS,100,4495,4495
Monthly Hourly Load Values,00:00.0,1/1/2016,7:00,8:00,RS,100,4674,4674
Monthly Hourly Load Values,00:00.0,1/1/2016,8:00,9:00,RS,100,4986,4986
Monthly Hourly Load Values,00:00.0,1/1/2016,9:00,10:00,RS,100,5165,5165
Monthly Hourly Load Values,00:00.0,1/1/2016,10:00,11:00,RS,100,5265,5265
Monthly Hourly Load Values,00:00.0,1/1/2016,11:00,12:00,RS,100,5254,5254
Monthly Hourly Load Values,00:00.0,1/1/2016,12:00,13:00,RS,100,5227,5227
Monthly Hourly Load Values,00:00.0,1/1/2016,13:00,14:00,RS,100,5175,5175
Monthly Hourly Load Values,00:00.0,1/1/2016,14:00,15:00,RS,100,5214,5214
Monthly Hourly Load Values,00:00.0,1/1/2016,15:00,16:00,RS,100,5649,5649
Monthly Hourly Load Values,00:00.0,1/1/2016,16:00,17:00,RS,100,5845,5845
Monthly Hourly Load Values,00:00.0,1/1/2016,17:00,18:00,RS,100,5830,5830
Monthly Hourly Load Values,00:00.0,1/1/2016,18:00,19:00,RS,100,5864,5864
Monthly Hourly Load Values,00:00.0,1/1/2016,19:00,20:00,RS,100,5742,5742
Monthly Hourly Load Values,00:00.0,1/1/2016,20:00,21:00,RS,100,5648,5648
Monthly Hourly Load Values,00:00.0,1/1/2016,21:00,22:00,RS,100,5647,5647
Monthly Hourly Load Values,00:00.0,1/1/2016,22:00,23:00,RS,100,5579,5579
Monthly Hourly Load Values,00:00.0,1/1/2016,23:00,0:00,RS,100,5583,5583
Monthly Hourly Load Values,00:00.0,1/2/2016,0:00,1:00,RS,100,5216,5216
Monthly Hourly Load Values,00:00.0,1/2/2016,1:00,2:00,RS,100,4857,4857
Monthly Hourly Load Values,00:00.0,1/2/2016,2:00,3:00,RS,100,4592,4592
Monthly Hourly Load Values,00:00.0,1/2/2016,3:00,4:00,RS,100,4460,4460
Monthly Hourly Load Values,00:00.0,1/2/2016,4:00,5:00,RS,100,4436,4436
